target,model,train_size,n_seeds,RMSE_mean,RMSE_std,RMSE_CI95,MAE_mean,MAE_std,MAE_CI95,Pearson_R_mean,Pearson_R_std,Pearson_R_CI95,R2_mean,R2_std,R2_CI95
gap,gtca_ca,50,10,0.9241986755458355,0.06302524373613867,0.039063450777517855,0.7163639156035722,0.05902444916734559,0.03658373261310565,0.7130622208118439,0.020532637600852544,0.012726260633143817,0.4525266945362091,0.07678189452571947,0.047589911273761144
gap,gtca_ca,75,10,0.8831843940330519,0.02908402751807294,0.018026467015672395,0.6780043582003584,0.030067733876865694,0.01863617453361727,0.730268144607544,0.014090997593681718,0.008733690792397273,0.5016382515430451,0.03317724614723381,0.020563470206191762
gap,gtca_ca,100,10,0.8832609678297533,0.03823457859119498,0.02369803733007806,0.6681514210007407,0.031386012583369684,0.019453252141094106,0.738387280702591,0.018919500269630296,0.011726427756663497,0.5011979758739471,0.043460628534105365,0.02693717664321445
gap,gtca_ca,125,10,0.833717606585702,0.02007351336666372,0.012441692484576439,0.6344188490669513,0.019541907326120225,0.012112199646996271,0.7629877746105194,0.013351097140839067,0.008275095740533808,0.5561024188995362,0.021328875240639755,0.013219773835238738
gap,gtca_ca,150,10,0.8161535724226319,0.04225136865979456,0.026187669607983716,0.6405339257196889,0.041398751931850754,0.02565921228501706,0.7803164005279541,0.009545321766489468,0.0059162517251325685,0.5738050043582916,0.045117217164622136,0.027963940914015387
gap,gtca_ca,175,10,0.8221565030614633,0.03995885221674534,0.024766753195432766,0.6480836996508997,0.03874343712735601,0.02401343111837131,0.8006674647331238,0.012311887099688782,0.007630986683852775,0.5676359176635742,0.04266592701695992,0.026444615539796944
gap,gtca_ca,200,10,0.7954711109062548,0.046906986932950395,0.029073251709240307,0.6324013606137221,0.049277092078653356,0.030542258097923602,0.8195069789886474,0.006767690670211824,0.0041946581353988,0.5948422968387603,0.04791649529153835,0.029698951472343034
gap,gtca_ca,225,10,0.7763652737885228,0.032487532627152725,0.020135981337523933,0.6141867395918492,0.03235379138531416,0.02005308765702732,0.8165913939476013,0.009606977829369947,0.0059544665488237,0.6146686017513275,0.031917640729345324,0.019782758679763063
gap,gtca_ca,250,10,0.7837570088599588,0.031847614894172975,0.019739356217459834,0.6213075323896452,0.03344701200743466,0.020730672818616857,0.8176613926887513,0.010596537766233465,0.006567802152044963,0.607331496477127,0.032532811693573874,0.020164045593646443
gap,gtca_ca,275,10,0.7756412296236322,0.04472850257391779,0.02772301311460768,0.6112042316793623,0.04291087112349607,0.026596433469910426,0.8210781514644623,0.011242887365278112,0.006968413783997627,0.6148428857326508,0.04533689192518716,0.02810009674123156
gap,gtca_ca,300,10,0.7779572845930669,0.028567166932919573,0.01770611350602939,0.6114279512902951,0.030305856246038747,0.018783764307108045,0.8139074742794037,0.012998957642235447,0.008056837418073172,0.6132266342639923,0.028310716022665196,0.017547163585081647
gap,gtca_ca,325,10,0.7514364259992284,0.045259266739025854,0.028051984152386952,0.5941112469168726,0.045635123214853725,0.028284942409627208,0.8444925427436829,0.007514934074118739,0.004657804395483871,0.6384083271026612,0.04309780104855404,0.026712293837811863
gap,gtca_ca,350,10,0.7483377648911916,0.042463024158315966,0.026318855045090427,0.5913938132877614,0.040990611650258406,0.02540624431765697,0.8495102763175965,0.009697952706054065,0.006010853361577953,0.6415155529975891,0.04190667386122283,0.025974025558408192
gap,gtca_ca,375,10,0.7257530688295663,0.03933201689538062,0.02437823663809497,0.5651517259201922,0.037236860227528604,0.023079645081535927,0.8465458810329437,0.01890271107196771,0.011716021704142189,0.6629125714302063,0.03673550618791781,0.02276890262839383
gap,gtca_ca,400,10,0.7487702558344818,0.03762102922134325,0.023317755490802332,0.5883488059747473,0.037633262664390155,0.023325337857358547,0.8474711775779724,0.015130021806560413,0.009377684671522299,0.641325032711029,0.03550631728625948,0.022007043454040986
gap,gtca_ca,425,10,0.7346912497086602,0.04524419535252874,0.028042642810256747,0.578206929300226,0.04315753785818992,0.02674931909601771,0.8574797570705414,0.006424935233952434,0.003982216115037871,0.6542932450771332,0.04287842114812626,0.026576320766802167
gap,gtca_ca,450,10,0.7785563108713143,0.051799112284281565,0.03210542241625486,0.613246981473444,0.051100653729596164,0.03167251331898398,0.8439215421676636,0.0219129618372853,0.01358179445848923,0.6115589380264282,0.05204806190480035,0.03225972298965576
gap,gtca_ca,475,10,0.7316183436021839,0.023083673365598786,0.014307408981336747,0.5732152166369958,0.024400277066203267,0.015123448409401193,0.8530105412006378,0.00922854112208337,0.005719909047556655,0.6580391347408294,0.02154685196389413,0.013354877208026006
gap,gtca_ca,500,10,0.7772591017281526,0.04043261850444645,0.025060396582789444,0.6184953436668507,0.03964765148156334,0.02457386898142474,0.8528022706508637,0.0047278471321868624,0.002930350011893908,0.6134494066238403,0.03993800533717612,0.02475383216560976
gap,gtca_ca,600,3,0.7401634671408226,0.0277530897129508,0.03140557748056731,0.5913119631868995,0.030180690627830506,0.034152666522281244,0.8689883947372437,0.0067803098565125675,0.007672642892859343,0.6499899625778198,0.026469290189054587,0.029952821559181612
gap,gtca_ca,700,3,0.7319602217354416,0.0761160537955984,0.08613342333113991,0.5748317765633372,0.0683460187529045,0.0773408009570561,0.8810423612594604,0.005574364340578943,0.006307987075084834,0.6555605133374532,0.07314661753575882,0.08277318987617867
gap,gtca_ca,800,3,0.735833798694098,0.022690668370150647,0.025676908443534048,0.5912058965261553,0.019824929908078458,0.02243402009342534,0.8845868706703186,0.005042089114108458,0.0057056609543248565,0.654177705446879,0.021496573571924457,0.024325662975274154
gap,gtca_ca,900,3,0.703546446201755,0.07342922383668152,0.08309298901104697,0.5656067366358248,0.07666338705364337,0.08675278921872255,0.8999374111493429,0.0027290503040252045,0.0030882111382155245,0.681766152381897,0.0642217428378857,0.07267374340994925
gap,gtca_ca,1000,3,0.719708585177576,0.09222191643974222,0.10435892263206994,0.584211795154045,0.08901693506617595,0.10073214478886856,0.902318000793457,0.005043418470898181,0.0057071652631456304,0.665759007136027,0.0867807709061109,0.09820168682852769
gap,gtca_ca,1500,3,0.6795673827505783,0.09755284179129352,0.11039143255809591,0.5445707674108078,0.08995804005266468,0.1017971053347471,0.9100896716117859,0.011952459458749533,0.013525481144534779,0.7011803785959879,0.08809962690856626,0.099694112889886
gap,gtca_ca,2000,3,0.5981885943866304,0.016053523680933407,0.01816627218851271,0.4603665110152899,0.013456097460361945,0.015227007722324345,0.9167839884757996,0.003835987442812989,0.004340828430123562,0.7714911500612894,0.012164904478205634,0.013765885315309888
gap,gtca_ca,2500,3,0.6146484267525585,0.0547931019787906,0.06200423186729116,0.48805220934833377,0.05721062106293446,0.06473991224353413,0.9300677180290222,0.0029645143569096855,0.003354663797477502,0.7575809756914774,0.04409901959253419,0.04990273843218646
gap,gtca_ca,3000,3,0.6410838488392864,0.03253545052786506,0.036817328196118534,0.5105665860605085,0.03700837087665328,0.04187891406029434,0.9238497813542684,0.004368771618297129,0.004943730480909615,0.7372195720672607,0.026886312945249343,0.030424727232254208
gap,gtca_cat,50,10,0.9556025289682598,0.04236696206372759,0.026259315142012084,0.7380861621225265,0.0345748860906414,0.021429736417911145,0.7077138423919678,0.014847387962911148,0.009202506400325498,0.41609721779823305,0.05274402423100937,0.032691084908487725
gap,gtca_cat,75,10,0.9396105440506595,0.04675391645181684,0.028978377642108012,0.7199100624280192,0.0447351263524975,0.02772711857510527,0.7261400759220124,0.018246266645204116,0.011309153233146466,0.4352181613445282,0.05649917071508408,0.035018548812588576
gap,gtca_cat,100,10,0.9514463672091859,0.056234562072331476,0.03485454267665443,0.7220425988188002,0.048434747579256705,0.030020167568172485,0.7170741498470307,0.021832823960150488,0.013532124487644272,0.4203708589076996,0.06950727579682979,0.04308105587240952
gap,gtca_cat,125,10,0.8896273436081443,0.045811830681625205,0.028394466832240266,0.6771590695850094,0.03928321787531452,0.024347990692100314,0.7495678126811981,0.013889336806183799,0.008608700141362892,0.49362787008285525,0.052572651502746655,0.03258486699105885
gap,gtca_cat,150,10,0.8186354296887787,0.025362672401418297,0.01571994721808614,0.6367723110373419,0.01954391435558557,0.012113443616746817,0.7727971613407135,0.018580818799450564,0.011516510806639277,0.5718712568283081,0.027106720770800532,0.016800919596649245
gap,gtca_cat,175,10,0.8097359503336026,0.02705888657312594,0.01677127165376835,0.6341126084113833,0.028533743050126584,0.017685397168846408,0.7942718446254731,0.009104156382930752,0.00564281458750657,0.581070077419281,0.028043482238562643,0.017381530369681736
gap,gtca_cat,200,10,0.8021046002439285,0.0575209222567814,0.03565183697920078,0.6347597448218503,0.049813626496547934,0.030874805575433015,0.809640085697174,0.030604749480671746,0.0189690202532445,0.5874412894248963,0.060137579966716544,0.03727365823040609
gap,gtca_cat,225,10,0.7780373983768091,0.03646125686565757,0.022598921137394257,0.6132491021175575,0.03194317154772804,0.01979858284494009,0.8124423265457154,0.016930328953033372,0.010493526601385951,0.6128521680831909,0.03649325056182898,0.02261875103572539
gap,gtca_cat,250,10,0.7878108580681429,0.032204625624162105,0.0199606337604133,0.6225236211659133,0.028201264741940776,0.017479324978458964,0.8155428647994996,0.014320922267363156,0.008876199581581718,0.60325186252594,0.032073388647675546,0.019879292239662727
gap,gtca_cat,275,10,0.7696886587153464,0.028769167710490737,0.01783131488509438,0.6000131454609603,0.03015761419425566,0.01869188293149241,0.8167471826076508,0.0044293054065452295,0.0027453119332874762,0.6213881373405457,0.028902327061697382,0.017913847906040784
gap,gtca_cat,300,10,0.7887091356660798,0.029189246633339327,0.018091682498967792,0.6199560352007162,0.032297165865057306,0.0200179907959574,0.8078705787658691,0.018077431874834893,0.011204508358317208,0.6024542689323426,0.029074107337251853,0.018020318423898105
gap,gtca_cat,325,10,0.7375294443751202,0.029899548449898807,0.01853193212599847,0.578965810514604,0.03154479217456727,0.019551664751304525,0.8449108242988587,0.009926782238873959,0.006152683375424084,0.6522885918617248,0.0281841619794349,0.017468724576434263
gap,gtca_cat,350,10,0.7563948726904616,0.04080961990767336,0.025294064473383653,0.5947001701620732,0.04377623400613026,0.02713279094140225,0.839909952878952,0.015175822880851042,0.009406072471474328,0.6338561415672302,0.04012599505054084,0.024870349397109043
gap,gtca_cat,375,10,0.7447330133098224,0.03950181456339875,0.02448347832307016,0.5915085851082473,0.040278906921541395,0.024965125156662403,0.852180564403534,0.00729868597417867,0.004523772434526981,0.6450903713703156,0.0368451045529326,0.02283683239880417
gap,gtca_cat,400,10,0.7284882858834778,0.019115936812319996,0.011848180387218812,0.5683944699316718,0.017094035575700283,0.010594993017339462,0.8490025401115417,0.009517447344487107,0.005898974979382887,0.6610524535179139,0.017884681126625508,0.011085040206848727
gap,gtca_cat,425,10,0.7188986540057374,0.030568155955321717,0.018946339351251146,0.561906421539142,0.030889144484071106,0.01914529010256351,0.8530735492706298,0.01111037147738441,0.006886279585744516,0.669584995508194,0.028101269956998385,0.01741734756864586
gap,gtca_cat,450,10,0.7454390290432675,0.039220125384452166,0.024308885561122148,0.5886577556942011,0.03994104016066467,0.024755713168695757,0.8533181369304657,0.007219065142280852,0.004474422931640061,0.6444315671920776,0.03775161212240979,0.023398691611407497
gap,gtca_cat,475,10,0.7366692873503771,0.041165703612057535,0.025514767439914373,0.5728339281399875,0.037547140097239154,0.02327195853721151,0.8464357614517212,0.013641650628007856,0.008455182657639152,0.6526380598545074,0.03981994305148538,0.024680656402814305
gap,gtca_cat,500,10,0.7462202764272922,0.029783120427291216,0.018459769289956195,0.5890736071370906,0.03300911207670745,0.020459259629624582,0.8515010118484497,0.0039658290385363735,0.002458046304231681,0.6440618216991425,0.02839158517774166,0.017597286806690666
gap,gtca_cat,600,3,0.7033104289591552,0.004932818231274185,0.005582009310031702,0.5524928823795546,0.00866812713991783,0.009808909253698862,0.8808082143465678,0.005469967640876041,0.006189851088239915,0.6842621564865112,0.004437325578698482,0.0050213065899934175
gap,gtca_cat,700,3,0.7154275919183826,0.04308790740909603,0.04875855728526016,0.5679075825787848,0.04127126360045219,0.04670283129305347,0.8797868887583414,0.010376940519847336,0.011742613628897246,0.6725095510482788,0.03970040941946369,0.0449252424479208
gap,gtca_cat,800,3,0.6649468977004521,0.04767370008926266,0.05394787021641051,0.5190394786015424,0.05090708401245459,0.057606788570169126,0.8875456849733988,0.004640920536912987,0.005251695973697776,0.7168099880218506,0.04128907372004524,0.04672298534064251
gap,gtca_cat,900,3,0.6864583529163113,0.0189554390980776,0.02145009861713001,0.5422903673080284,0.01778114689446555,0.02012126189419913,0.8959879080454508,0.008555061567405238,0.009680963513795462,0.6990686456362406,0.0167154644851201,0.01891532872342289
gap,gtca_cat,1000,3,0.6730254568546606,0.07235092829086913,0.0818727827327111,0.5297699378288112,0.06846433762171633,0.07747469136134319,0.8850311438242594,0.029906692781983057,0.033842608771368736,0.7086503903071085,0.060840923395569034,0.06884798606034727
gap,gtca_cat,1500,3,0.6142823742934308,0.018032449891183203,0.0204056380056932,0.48069068353997974,0.0172243449229651,0.019491181148662173,0.9179474711418152,0.0011047563945353403,0.0012501495474769207,0.7590073148409525,0.014229700638250908,0.016102422128204626
gap,gtca_cat,2000,3,0.5853190915725417,0.020981102313328774,0.023742352334251076,0.4510093222040463,0.019243135250675055,0.021775657461378054,0.9222360849380493,0.002029865198455899,0.002297008708744446,0.7811354200045267,0.01565040945056118,0.017710105494050346
gap,gtca_cat,2500,3,0.5535775430601381,0.019296796059743118,0.021836380383196397,0.4248691804363661,0.0199069425394825,0.02252682612246876,0.9297031760215759,0.0027023205661450994,0.0030579635923490486,0.8042386571566263,0.013611749634625797,0.015403144738758269
gap,gtca_cat,3000,3,0.6154734560434126,0.11452286375507585,0.12959482018602536,0.47930401469557204,0.11195535290478947,0.1266894081481275,0.920669158299764,0.015439665002429175,0.01747162570088625,0.7526297569274902,0.08973477971264693,0.1015444624766262
homo,gtca_ca,50,10,0.6177102340532314,0.07316889527157552,0.04535055113555459,0.45289033546718305,0.05386608317948002,0.03338654424993131,0.1739085242152214,0.11525726468311513,0.07143719276278766,-0.5419512689113617,0.3334892705805808,0.20669879137151245
homo,gtca_ca,75,10,0.5505757480520319,0.08508707857000175,0.05273751767525801,0.4043063301956771,0.0669475853228434,0.04149454327985425,0.3416768565773964,0.18460923911997112,0.11442199185503436,-0.23572427034378052,0.3919963297788346,0.24296184235941065
homo,gtca_ca,100,10,0.5059039800100559,0.021840762419791965,0.013537044795906027,0.3708982456208324,0.018800047421473454,0.011652390114322203,0.45783808529376985,0.028241347799245232,0.01750416871476533,-0.023093438148498513,0.08785914451384703,0.054455661947778164
homo,gtca_ca,125,10,0.5592439806339379,0.06306551211978341,0.039088409380279965,0.40869922691163796,0.03959265291788538,0.024539780518489752,0.32654945403337476,0.15391758710646383,0.09539910885390307,-0.2623978316783905,0.2804504915391281,0.17382501553877547
homo,gtca_ca,150,10,0.56311127972433,0.052239956104395996,0.032378660246793214,0.40094262073743975,0.03300622118516499,0.020457467836483015,0.23527781069278716,0.12901995993461665,0.07996739965534329,-0.27523629665374755,0.22095961082105073,0.13695218565538597
homo,gtca_ca,175,10,0.5529056434710966,0.0415848523451675,0.025774558516214668,0.3972906773664674,0.022796174140328338,0.014129215115368608,0.264939121901989,0.1303702790130524,0.08080433609108724,-0.22619252800941467,0.17515250157164242,0.1085606451971519
homo,gtca_ca,200,10,0.5789648183383027,0.04594163166424363,0.028474918314770285,0.41156149509593454,0.03110687967352812,0.01928024377115219,0.2013662122189998,0.11868473483898503,0.0735615607745287,-0.3452709197998047,0.19284908093244543,0.11952909872166849
homo,gtca_ca,225,10,0.577005373258258,0.05684313072095919,0.03523173743293235,0.4142249036699803,0.03680194477491379,0.022810081691242216,0.22801364064216614,0.1319063001242248,0.08175637183918712,-0.3402562439441681,0.2441317353776616,0.15131441725289188
homo,gtca_ca,250,10,0.5558496392831227,0.07629399704884107,0.047287509284610466,0.4050695858243978,0.05269327688329482,0.03265963137650558,0.3278639942407608,0.15934309175439973,0.09876187147399132,-0.25391414761543274,0.3379575126678048,0.20946823650951238
homo,gtca_ca,275,10,0.5475023901949696,0.0709018169929541,0.043945401460664446,0.39927081014369264,0.048822185513972195,0.030260304088000383,0.35032339096069337,0.13626498642712753,0.08445791359856396,-0.21430910229682923,0.31094875156849083,0.19272803294628804
homo,gtca_ca,300,10,0.5591821842901352,0.05893635856696976,0.03652913349332834,0.40381528798806693,0.03607816076320137,0.02236147571308127,0.29562302082777026,0.14110598916841066,0.08745839818359237,-0.2603126108646393,0.25377811789558835,0.15729330708071607
homo,gtca_ca,325,10,0.5065525583903024,0.05009990924653148,0.031052245462206862,0.3683629314930372,0.031319145999233605,0.019411807802869947,0.42000969499349594,0.13853916048470383,0.08586746128281512,-0.03301579952239993,0.20999894253192702,0.13015869306702846
homo,gtca_ca,350,10,0.525075787560236,0.05190061148817979,0.03216833227459726,0.3793710547529001,0.03137137809293553,0.019444181589949202,0.3545050874352455,0.13746992528103533,0.08520474243760193,-0.10993441343307497,0.2175800927095567,0.134857538628668
homo,gtca_ca,375,10,0.5052470308983447,0.04002881309737106,0.024810115398490897,0.36798818901368807,0.025349713977536957,0.01571191550375335,0.381890569627285,0.12071316639383943,0.07481879567758365,-0.02448420524597169,0.1640146428703389,0.10165732885351605
homo,gtca_ca,400,10,0.4819842483242986,0.03563970520002335,0.022089718139528054,0.350916334313034,0.02379256765254366,0.01474678621247399,0.4728658154606819,0.11652063727490011,0.07222023920778792,0.06835858225822447,0.14303174166353608,0.0886519919460847
homo,gtca_ca,425,10,0.4722962468984998,0.026109049663689203,0.016182556638023374,0.3454293660890961,0.020933903369005913,0.012974967732930472,0.5090728998184204,0.06337313048276116,0.03927907321699199,0.10736667513847349,0.1009643741826319,0.06257836745032112
homo,gtca_ca,450,10,0.4801161126291198,0.01756917617171225,0.01088948820981218,0.3538445715319567,0.013620851363200258,0.00844229113975115,0.4755617529153824,0.06539994371582376,0.0405353050738085,0.0789846062660217,0.06836485571827136,0.042372976571790705
homo,gtca_ca,475,10,0.481683517592593,0.021994810018279225,0.013632524486648603,0.35372952838416183,0.019065765819123465,0.01181708408346794,0.500304201245308,0.08909056475680947,0.05521890412179962,0.07233967185020447,0.08582634873765965,0.053195722072316654
homo,gtca_ca,500,10,0.4812821142474966,0.022079199564182368,0.013684829669097811,0.3519967203460305,0.018001187586849234,0.011157251659029161,0.5007640063762665,0.059469494683370684,0.03685957468175016,0.07386874556541438,0.08763287054376433,0.054315415888126814
homo,gtca_ca,600,3,0.4591104106761062,0.012477385869083035,0.014119491296983928,0.333254131553252,0.010815884749804805,0.012239325784774593,0.5532491405804952,0.008031572199417452,0.009088579527845178,0.15841245651245114,0.0456551564169861,0.05166367302059313
homo,gtca_ca,700,3,0.46174378835421637,0.017670604268489053,0.01999617113706479,0.3354230586638425,0.013998231332511456,0.015840489950888118,0.5519430041313171,0.01148071832529446,0.012991655798574092,0.14831852912902826,0.06582699270424458,0.07449025463716871
homo,gtca_ca,800,3,0.4719449802124504,0.012914322576893985,0.014613931727695949,0.34328234603489766,0.008157593775249914,0.0092311863656771,0.5263894697030386,0.07154011503137299,0.08095526115559118,0.11069504419962563,0.048391238331513806,0.05475984117515291
homo,gtca_ca,900,3,0.44286083229249806,0.010013821165927035,0.0113317053976989,0.3207886928336447,0.008421680660564361,0.009530028808955562,0.6099293033281962,0.022878603611736735,0.02588957718968114,0.21705041329065958,0.03533369365010308,0.03998383837908754
homo,gtca_ca,1000,3,0.42824174645040747,0.024111756458521483,0.027285021000645667,0.3076228066096304,0.01900374888706556,0.02150476628969633,0.5853604376316071,0.11609276711265042,0.13137133307317622,0.2665912310282389,0.08375184609990616,0.0947741357461815
homo,gtca_ca,1500,3,0.4186946240931389,0.01809538210562773,0.02047685251035568,0.30121551124766416,0.016017700156316483,0.01812573405421414,0.6485390067100525,0.03225195252681078,0.036496520007560665,0.2995349367459615,0.0598425973115095,0.06771827374694052
homo,gtca_ca,2000,3,0.41141360272954147,0.013205657967057182,0.014943608756928918,0.29782660193410265,0.014726850821695553,0.01666500052099392,0.6578938961029053,0.0426278231895689,0.04823792297919213,0.32406218846638996,0.042961828992643586,0.04861588612621163
homo,gtca_ca,2500,3,0.40537316109945865,0.009101323568879785,0.010299117160450273,0.29517312392351563,0.00855590631860814,0.009681919439770875,0.7042673230171204,0.013746761239769907,0.015555924752442671,0.34399495522181195,0.029398791742728858,0.033267864639967934
homo,gtca_ca,3000,3,0.4077828390059843,0.017122797558431064,0.019376269488093695,0.2960655727638826,0.015069525999781492,0.01705277398936646,0.7028624216715494,0.014876105403592436,0.016833897980144386,0.3356158137321472,0.05639078691689418,0.06381218257231601
